ObjectIDregion0,TimestampRegion0,ObjectIDregion1,TimestampRegion1
1,0.0,3.0,17.169186561362114
2,16.002348639716146,39.0,517.70931672115
6,18.369362709340827,44.0,524.4436384403639
7,22.703332132597282,79.0,934.1037636170972
8,25.470404918214864,100.0,1219.645672157032
9,44.406517475212304,101.0,1225.479861765262
10,49.10720738812892,116.0,1348.8979756490728
11,60.208836756931994,129.0,1527.9909275085627
12,65.7763205544999,131.0,1532.3248969318192
13,87.27947653911848,136.0,1591.133528182776
14,88.31296155543347,139.0,1593.4005275734023
15,100.61476707221526,140.0,1594.3339979107193
16,101.61491386219753,166.0,1888.5771835234998
17,108.78263252373705,167.0,1890.744168235128
18,147.05491635372482,180.0,2036.5322319882087
19,157.28975183787662,186.0,2078.205014904136
20,161.92376529812773,190.0,2145.514893869942
21,231.8006876915549,200.0,2197.1558064593596
22,302.3777128379697,205.0,2259.231583890925
24,308.31191712519774,207.0,2278.6677698429135
25,327.48139726652437,226.0,2458.1607804183964
27,328.58155873550487,228.0,2461.827985314998
28,329.6150437518198,240.0,2794.376792984099
29,331.74869023711534,260.0,2797.243880448715
30,381.08926520957345,262.0,2800.9110853453167
31,419.6615930765559,269.0,2930.296741742688
32,424.6956652527999,274.0,2964.3684090547504
33,429.0296346760564,311.0,3634.433420116531
34,432.26344263033235,314.0,3644.0014910740283
35,465.1682720207487,,
36,489.37182433831936,,
37,505.4741876570337,,
40,521.343183391419,,
41,521.5098745230827,,
42,522.5433595393977,,
43,523.276800518718,,
45,531.0779454805796,,
46,532.5448274392202,,
47,580.3185057740394,,
48,593.9205021177982,,
49,596.0208103767609,,
50,607.2557926508949,,
52,617.6239810403778,,
53,619.4575834886786,,
55,623.658200006604,,
56,677.1660532706549,,
58,679.5664055666123,,
59,704.7034282214997,,
60,721.472556066869,,
62,729.2737010287306,,
63,730.6072300820402,,
64,738.3750368175691,,
65,743.1090649568185,,
66,748.0431224540644,,
67,756.877752432241,,
68,773.2468215616173,,
69,805.051489483053,,
