ObjectIDregion0,TimestampRegion0,ObjectIDregion1,TimestampRegion1,
1,3.636494906,2,4.170292324,nil
3,6.272119655,11,21.65215774,girl accompanied by parent
4,6.639105379,15,25.68900071,nil
5,7.706700214,23,108.6944991,talking to friend
6,8.807657388,34,225.6628582,nil
7,9.341454805,35,226.6970907,nil
12,24.35450717,37,242.1772158,Pushing item to destination
13,24.82157991,41,303.0968461,Walking with phone
17,25.85581241,42,454.7953996,nil
19,32.89526585,59,614.2340158,nil
20,84.07309325,60,644.2267582,running
21,100.2204651,74,793.1896,nil
22,107.5601796,77,894.4109352,nil
24,109.9289057,80,929.074405,running
25,123.0403047,88,1040.471254,nil
26,133.0490063,95,1123.710288,talking with friend
27,142.7574468,100,1132.684757,nil
29,143.5247806,101,1169.249881,nil
30,146.4273041,105,1171.485157,Walking with friend
31,209.0150513,126,1470.845421,nil
32,211.3170526,133,1565.727912,nil
33,221.6927399,139,1636.189171,nil
36,230.1667739,140,1674.322324,nil
38,245.1131016,142,1677.858732,nil
39,248.5160602,,,
40,294.3559134,,,
43,456.897227,,,
44,479.9839653,,,
45,540.6700592,,,
46,541.3706683,,,
48,543.1388722,,,
49,545.4408736,,,
50,547.5760633,,,
51,554.5821544,,,
52,559.4196935,,,
53,564.8243923,,,
54,566.0587988,,,
55,567.1931184,,,
56,588.244754,,,
57,609.6633754,,,
58,613.1664209,,,
61,645.7280634,,,
63,654.0352857,,,
64,671.1501654,,,
65,673.1519057,,,
67,676.5548643,,,
69,747.4498338,,,
70,753.8887651,,,
72,772.9386604,,,
73,788.6189596,,,
75,795.8252247,,,
76,849.7054015,,,
78,896.2458639,,,
79,909.4907123,,,
81,931.9102038,,,
82,936.3473948,,,
83,957.1321318,,,
84,961.8028592,,,
89,1041.672298,,,
90,1044.107748,,,
91,1102.458479,,,
92,1110.165179,,,
93,1112.300369,,,
96,1127.847218,,,
97,1128.681277,,,
98,1129.915683,,,
99,1131.416989,,,
102,1169.450055,,,
104,1171.251621,,,
106,1173.95397,,,
107,1174.487768,,,
108,1175.522,,,
109,1176.589595,,,
110,1176.823131,,,
111,1197.274245,,,
112,1199.242623,,,
113,1200.777291,,,
114,1297.561435,,,
115,1300.263784,,,
117,1301.19793,,,
118,1305.701845,,,
119,1380.066498,,,
120,1434.547197,,,
121,1436.01514,,,
122,1454.297701,,,
123,1455.965818,,,
124,1460.970169,,,
125,1466.241419,,,
127,1472.780437,,,
128,1475.382699,,,
130,1477.451164,,,
131,1477.884875,,,
132,1561.757794,,,
134,1589.682071,,,
135,1594.386161,,,
136,1619.508002,,,
137,1621.743279,,,
138,1632.052241,,,
141,1676.857862,,,
143,1680.39427,,,
144,1681.161604,,,
145,1683.597055,,,
